index,IR1,IR2,IR3,LW_speed,RW_speed
276, 737.0,625.0,549.0,38.02,21.98
277, 743.0,627.0,553.0,38.24,21.76
278, 746.0,628.0,556.0,38.32,21.68
279, 747.0,629.0,557.0,38.26,21.74
280, 749.0,630.0,556.0,38.36,21.64
281, 748.0,629.0,555.0,38.33,21.67
282, 745.0,627.0,552.0,38.23,21.77
283, 739.0,624.0,549.0,37.96,22.04
284, 732.0,621.0,546.0,37.65,22.35
285, 725.0,618.0,544.0,37.37,22.63
286, 719.0,616.0,543.0,37.09,22.91
287, 716.0,615.0,542.0,37.01,22.99
288, 714.0,615.0,542.0,36.87,23.13
289, 714.0,615.0,542.0,36.93,23.07
290, 714.0,614.0,542.0,37.03,22.97
291, 712.0,613.0,541.0,36.9,23.1
292, 708.0,611.0,539.0,36.73,23.27
293, 701.0,609.0,536.0,36.29,23.71
294, 691.0,605.0,533.0,35.84,24.16
295, 680.0,601.0,529.0,35.32,24.68
296, 671.0,594.0,526.0,35.33,24.67
297, 666.0,591.0,522.0,35.19,24.81
298, 667.0,592.0,519.0,35.25,24.75
299, 672.0,594.0,519.0,35.55,24.45
300, 679.0,596.0,522.0,35.96,24.04
301, 689.0,599.0,525.0,36.51,23.49
302, 698.0,601.0,528.0,37.0,23.0
303, 705.0,602.0,530.0,37.39,22.61
304, 708.0,604.0,532.0,37.31,22.69
305, 708.0,605.0,531.0,37.18,22.82
306, 706.0,605.0,531.0,37.01,22.99
307, 703.0,606.0,529.0,36.67,23.33
308, 707.0,610.0,529.0,36.79,23.21
309, 722.0,618.0,535.0,37.49,22.51
310, 741.0,627.0,547.0,38.28,21.72
311, 761.0,637.0,565.0,38.98,21.02
312, 778.0,646.0,580.0,39.48,20.52
313, 789.0,652.0,590.0,39.74,20.26
314, 796.0,657.0,596.0,39.79,20.21
315, 800.0,661.0,601.0,39.73,20.27
316, 804.0,665.0,605.0,39.73,20.27
317, 807.0,668.0,608.0,39.73,20.27
318, 810.0,670.0,611.0,39.83,20.17
319, 812.0,672.0,613.0,39.8,20.2
320, 814.0,673.0,615.0,39.9,20.1
321, 815.0,675.0,617.0,39.77,20.23
322, 816.0,676.0,618.0,39.8,20.2
323, 817.0,677.0,619.0,39.8,20.2
324, 817.0,677.0,620.0,39.8,20.2
325, 818.0,678.0,620.0,39.8,20.2
326, 818.0,678.0,621.0,39.8,20.2
327, 819.0,679.0,621.0,39.8,20.2
328, 819.0,679.0,621.0,39.8,20.2
329, 818.0,678.0,620.0,39.8,20.2
330, 817.0,677.0,619.0,39.8,20.2
331, 816.0,676.0,617.0,39.8,20.2
332, 814.0,674.0,615.0,39.8,20.2
333, 813.0,672.0,614.0,39.9,20.1
334, 811.0,671.0,611.0,39.77,20.23
335, 809.0,669.0,609.0,39.8,20.2
336, 806.0,666.0,606.0,39.8,20.2
337, 803.0,664.0,603.0,39.7,20.3
338, 800.0,660.0,599.0,39.83,20.17
339, 795.0,656.0,594.0,39.7,20.3
340, 788.0,649.0,587.0,39.73,20.27
341, 780.0,642.0,580.0,39.63,20.37
342, 772.0,635.0,572.0,39.56,20.44
343, 763.0,630.0,565.0,39.19,20.81
344, 752.0,624.0,556.0,38.81,21.19
345, 740.0,623.0,548.0,37.86,22.14
346, 725.0,616.0,536.0,37.39,22.61
347, 713.0,610.0,530.0,37.03,22.97
348, 699.0,601.0,519.0,36.71,23.29
349, 684.0,593.0,507.0,36.16,23.84
350, 664.0,586.0,497.0,35.07,24.93
351, 652.0,578.0,488.0,35.06,24.94
352, 635.0,568.0,479.0,34.48,25.52
